

# HP set at -60dBm
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
2000.000000	0.001298	0.001228	0.252346
2001.000000	0.001264	0.001372	0.118812
2002.000000	0.001360	0.001292	0.475823
2003.000000	0.001235	0.001298	0.231991
2004.000000	0.001336	0.001314	0.137073
2005.000000	0.001382	0.001263	0.497104
2006.000000	0.001119	0.001239	0.136742
2007.000000	0.001394	0.001357	0.406710
2008.000000	0.001302	0.001247	0.063169
2009.000000	0.001274	0.001322	0.383828
2010.000000	0.001273	0.001541	0.479209
2011.000000	0.001112	0.001077	0.402922
2012.000000	0.001192	0.001210	0.288523
2013.000000	0.001396	0.001352	0.048655
2014.000000	0.001269	0.001222	0.442890
2015.000000	0.001217	0.001282	0.294110
2016.000000	0.001412	0.001443	0.077895
2017.000000	0.001212	0.001133	0.093748
2018.000000	0.001249	0.001147	0.269552
2019.000000	0.001217	0.001163	0.479772
2020.000000	0.001275	0.001209	0.038966
2021.000000	0.001360	0.001454	0.401595
2022.000000	0.001374	0.001287	0.214658
2023.000000	0.001250	0.001229	0.427361
2024.000000	0.001337	0.001248	0.162378
2025.000000	0.001222	0.001303	0.350342
2026.000000	0.001281	0.001234	0.051476
2027.000000	0.001224	0.001213	0.112616
2028.000000	0.001466	0.001344	0.177460
2029.000000	0.001223	0.001222	0.067086
2030.000000	0.001308	0.001277	0.092496
2031.000000	0.001327	0.001262	0.365544
2032.000000	0.001324	0.001259	0.136131
2033.000000	0.001275	0.001308	0.512890
2034.000000	0.001409	0.001467	0.330355
2035.000000	0.001401	0.001331	0.494317
2036.000000	0.001212	0.001254	0.058910
2037.000000	0.001332	0.001287	0.220961
2038.000000	0.001269	0.001241	0.130816
2039.000000	0.001446	0.001429	0.557506
2040.000000	0.001468	0.001507	0.469000
2041.000000	0.001194	0.001245	0.205587
2042.000000	0.001196	0.001091	0.088753
2043.000000	0.001261	0.001255	0.557038
2044.000000	0.001236	0.001230	0.404766
2045.000000	0.001286	0.001241	0.073985
2046.000000	0.001361	0.001248	0.157239
2047.000000	0.001185	0.001062	0.374671
2048.000000	0.001366	0.001472	0.617928
2049.000000	0.001050	0.001163	0.152997
2050.000000	0.001372	0.001408	0.252650
2051.000000	0.001282	0.001264	0.187363
2052.000000	0.001361	0.001399	0.093490
2053.000000	0.001338	0.001391	0.261949
2054.000000	0.001230	0.001319	0.246161
2055.000000	0.001230	0.001210	0.115399
2056.000000	0.001290	0.001276	0.579985
2057.000000	0.001343	0.001464	0.411230
2058.000000	0.001323	0.001362	0.604619
2059.000000	0.001210	0.001127	0.149222
2060.000000	0.001383	0.001415	0.202624
2061.000000	0.001335	0.001507	0.495515
2062.000000	0.001290	0.001264	0.638315
2063.000000	0.001233	0.001164	0.176739
2064.000000	0.001292	0.001204	0.343651
2065.000000	0.001656	0.001592	0.684018
2066.000000	0.001361	0.001300	0.175163
2067.000000	0.001341	0.001211	0.516010
2068.000000	0.001127	0.001133	0.676363
2069.000000	0.001327	0.001252	0.626485
2070.000000	0.001411	0.001584	0.630239
2071.000000	0.001290	0.001337	0.494180
2072.000000	0.001288	0.001325	0.652665
2073.000000	0.001410	0.001449	0.624846
2074.000000	0.001514	0.001479	0.355866
2075.000000	0.001209	0.001226	0.635184
2076.000000	0.001326	0.001333	0.716643
2077.000000	0.001237	0.001253	0.244296
2078.000000	0.001274	0.001448	0.520076
2079.000000	0.001397	0.001523	0.704737
2080.000000	0.001383	0.001368	0.164753
2081.000000	0.001415	0.001295	0.274139
2082.000000	0.001223	0.001253	0.612350
2083.000000	0.001246	0.001115	0.729386
2084.000000	0.001249	0.001110	0.612930
2085.000000	0.001375	0.001348	0.356296
2086.000000	0.001258	0.001280	0.632900
2087.000000	0.001230	0.001315	0.188961
2088.000000	0.001226	0.001222	0.355758
2089.000000	0.001524	0.001979	0.144469
2090.000000	0.001282	0.001335	0.144350
2091.000000	0.001496	0.001480	0.736205
2092.000000	0.001278	0.001240	0.451141
2093.000000	0.001284	0.001228	0.658949
2094.000000	0.001344	0.001257	0.730266
2095.000000	0.001382	0.001346	0.510048
2096.000000	0.001336	0.001265	0.212752
2097.000000	0.001195	0.001044	0.124988
2098.000000	0.001500	0.001544	0.631679
2099.000000	0.001181	0.001084	0.626569
2100.000000	0.001229	0.001172	0.514683
2101.000000	0.001340	0.001464	0.711633
2102.000000	0.001362	0.001446	0.253528
2103.000000	0.001191	0.001078	0.575045
2104.000000	0.001430	0.001368	0.137527
2105.000000	0.001343	0.001297	0.745438
2106.000000	0.001347	0.001339	0.481009
2107.000000	0.001374	0.001370	0.678066
2108.000000	0.001394	0.001401	0.737807
2109.000000	0.001273	0.001133	0.434298
2110.000000	0.001295	0.001159	0.500231
2111.000000	0.001232	0.001343	0.792269
2112.000000	0.001242	0.001133	0.286597
2113.000000	0.001305	0.001291	0.591360
2114.000000	0.001200	0.001375	0.102244
2115.000000	0.001241	0.001250	0.244758
2116.000000	0.001248	0.001356	0.518091
2117.000000	0.001355	0.001397	0.717311
2118.000000	0.001227	0.001127	0.569970
2119.000000	0.001310	0.001296	0.459501
2120.000000	0.001073	0.001191	0.189644
2121.000000	0.001351	0.001332	0.125711
2122.000000	0.001225	0.001349	0.396695
2123.000000	0.001157	0.000973	0.196476
2124.000000	0.001416	0.001394	0.731452
2125.000000	0.001294	0.001259	0.412794
2126.000000	0.001219	0.001169	0.670458
2127.000000	0.001257	0.001218	0.604315
2128.000000	0.001352	0.001205	0.450025
2129.000000	0.001254	0.001270	0.559004
2130.000000	0.001310	0.001325	0.110798
2131.000000	0.001258	0.001320	0.237323
2132.000000	0.001533	0.001671	0.531713
2133.000000	0.001155	0.001294	0.134003
2134.000000	0.001435	0.001516	0.214507
2135.000000	0.001330	0.001243	0.561400
2136.000000	0.001317	0.001270	0.165010
2137.000000	0.001264	0.001323	0.246398
2138.000000	0.001182	0.001203	0.332480
2139.000000	0.001137	0.001139	0.158277
2140.000000	0.001275	0.001364	0.138661
2141.000000	0.001252	0.001290	0.525657
2142.000000	0.001235	0.001311	0.620569
2143.000000	0.001278	0.001316	0.136436
2144.000000	0.001344	0.001197	0.647094
2145.000000	0.001288	0.001037	0.593330
2146.000000	0.001238	0.001293	0.719550
2147.000000	0.001343	0.001219	0.678571
2148.000000	0.001321	0.001243	0.465551
2149.000000	0.001501	0.001654	0.157021
2150.000000	0.001181	0.001157	0.796620
2151.000000	0.001399	0.001483	0.359719
2152.000000	0.001217	0.001262	0.594235
2153.000000	0.001333	0.001237	0.192319
2154.000000	0.001478	0.001483	0.658715
2155.000000	0.001353	0.001504	0.408576
2156.000000	0.001227	0.001130	0.212196
2157.000000	0.001327	0.001406	0.742266
2158.000000	0.001187	0.001141	0.508332
2159.000000	0.001292	0.001352	0.193561
2160.000000	0.001236	0.001127	0.837489
2161.000000	0.001171	0.001211	0.270742
2162.000000	0.001314	0.001332	0.645105
2163.000000	0.001246	0.001217	0.758683
2164.000000	0.001282	0.001509	0.296218
2165.000000	0.001270	0.001220	0.481930
2166.000000	0.001240	0.001417	0.279745
2167.000000	0.001351	0.001260	0.817524
2168.000000	0.001208	0.001237	0.511587
2169.000000	0.001319	0.001317	0.328560
2170.000000	0.001221	0.001186	0.967197
2171.000000	0.001179	0.001292	0.271742
2172.000000	0.001596	0.001599	0.528674
2173.000000	0.001333	0.001243	0.262578
2174.000000	0.001337	0.001251	0.923821
2175.000000	0.001301	0.001377	0.533864
2176.000000	0.001437	0.001554	0.332920
2177.000000	0.001411	0.001388	0.937319
2178.000000	0.001444	0.001504	0.474504
2179.000000	0.001331	0.001362	0.400439
2180.000000	0.001284	0.001328	0.265175
2181.000000	0.001394	0.001220	0.946773
2182.000000	0.001153	0.001079	0.642399
2183.000000	0.001099	0.001020	0.367451
2184.000000	0.001478	0.001584	1.049761
2185.000000	0.001269	0.001215	0.710346
2186.000000	0.001437	0.001401	1.015476
2187.000000	0.001414	0.001394	0.288072
2188.000000	0.001456	0.001384	0.562680
2189.000000	0.001353	0.001271	0.912526
2190.000000	0.001308	0.001247	1.035021
2191.000000	0.001236	0.001213	0.348418
2192.000000	0.001416	0.001457	0.787806
2193.000000	0.001203	0.001186	1.081888
2194.000000	0.001156	0.001107	0.374263
2195.000000	0.001363	0.001398	0.704481
2196.000000	0.001194	0.001161	0.487357
2197.000000	0.001335	0.001462	0.335177
2198.000000	0.001218	0.001231	0.604258
2199.000000	0.001385	0.001410	0.998214
2200.000000	0.001161	0.001059	0.411931
2201.000000	0.001433	0.001533	0.386801
2202.000000	0.001304	0.001315	0.783237
2203.000000	0.001373	0.001358	0.490345
2204.000000	0.001150	0.001284	1.135066
2205.000000	0.001256	0.001209	0.876549
2206.000000	0.001150	0.001058	0.466832
2207.000000	0.001332	0.001297	0.344104
2208.000000	0.001264	0.001339	0.860491
2209.000000	0.001366	0.001256	1.018414
2210.000000	0.001340	0.001191	0.327022
2211.000000	0.001469	0.001396	0.953227
2212.000000	0.001314	0.001234	0.612022
2213.000000	0.001130	0.001247	0.292098
2214.000000	0.001193	0.001325	0.909476
2215.000000	0.001365	0.001343	0.805711
2216.000000	0.001432	0.001410	0.298565
2217.000000	0.001467	0.001569	0.956876
2218.000000	0.001288	0.001334	0.464870
2219.000000	0.001434	0.001612	1.023401
2220.000000	0.001166	0.001007	0.348730
2221.000000	0.001407	0.001550	0.544438
2222.000000	0.001279	0.001367	1.079213
2223.000000	0.001111	0.001110	0.897706
2224.000000	0.001241	0.001150	0.524736
2225.000000	0.001335	0.001210	0.259105
2226.000000	0.001245	0.001306	0.894143
2227.000000	0.001254	0.001202	0.522933
2228.000000	0.001401	0.001432	0.267790
2229.000000	0.001274	0.001317	0.835975
2230.000000	0.001137	0.001295	0.517956
2231.000000	0.001505	0.001466	0.350298
2232.000000	0.001371	0.001250	0.217713
2233.000000	0.001291	0.001313	0.481749
2234.000000	0.001284	0.001291	0.377479
2235.000000	0.001200	0.001286	0.806424
2236.000000	0.001152	0.001162	0.417633
2237.000000	0.001216	0.001177	0.443381
2238.000000	0.001321	0.001355	0.916439
2239.000000	0.001272	0.001247	0.768475
2240.000000	0.001328	0.001213	0.564378
2241.000000	0.001248	0.001220	0.332045
2242.000000	0.001256	0.001201	0.280637
2243.000000	0.001276	0.001367	0.545094
2244.000000	0.001327	0.001330	0.860446
2245.000000	0.001368	0.001231	0.252763
2246.000000	0.001352	0.001435	0.798111
2247.000000	0.001264	0.001305	0.770485
2248.000000	0.001380	0.001420	0.981332
2249.000000	0.001365	0.001457	0.427081
2250.000000	0.001354	0.001356	0.610571
2251.000000	0.001389	0.001465	0.314673
2252.000000	0.001203	0.001188	0.928981
2253.000000	0.001305	0.001296	0.717996
2254.000000	0.001381	0.001265	0.940880
2255.000000	0.001181	0.001199	0.194553
2256.000000	0.001419	0.001375	0.854860
2257.000000	0.001221	0.001173	0.413048
2258.000000	0.001208	0.001285	0.291673
2259.000000	0.001480	0.001422	0.394089
2260.000000	0.001255	0.001203	0.851280
2261.000000	0.001315	0.001304	0.820535
2262.000000	0.001330	0.001225	1.140145
2263.000000	0.001248	0.001256	0.904641
2264.000000	0.001319	0.001239	0.546290
2265.000000	0.001113	0.001096	1.015455
2266.000000	0.001548	0.001716	1.034639
2267.000000	0.001343	0.001408	0.649967
2268.000000	0.001217	0.001277	0.376908
2269.000000	0.001383	0.001541	1.175340
2270.000000	0.001284	0.001169	0.368689
2271.000000	0.001337	0.001315	0.707190
2272.000000	0.001320	0.001248	1.018686
2273.000000	0.001249	0.001170	0.376669
2274.000000	0.001230	0.001213	0.822247
2275.000000	0.001195	0.001229	0.390738
2276.000000	0.001225	0.001147	0.363661
2277.000000	0.001489	0.001412	0.609557
2278.000000	0.001265	0.001219	0.564931
2279.000000	0.001229	0.001252	1.285648
2280.000000	0.001565	0.001679	1.231952
2281.000000	0.001361	0.001296	0.959070
2282.000000	0.001322	0.001280	0.572918
2283.000000	0.001316	0.001299	1.339052
2284.000000	0.001333	0.001323	0.731323
2285.000000	0.001270	0.001325	0.607677
2286.000000	0.001336	0.001138	0.441485
2287.000000	0.001268	0.001130	1.252596
2288.000000	0.001376	0.001341	1.001789
2289.000000	0.001289	0.001189	1.261154
2290.000000	0.001105	0.000949	0.517408
2291.000000	0.001306	0.001498	0.632097
2292.000000	0.001274	0.001290	0.994447
2293.000000	0.001249	0.001200	1.344523
2294.000000	0.001227	0.001232	1.342034
2295.000000	0.001306	0.001218	0.887823
2296.000000	0.001352	0.001245	1.535926
2297.000000	0.001192	0.001073	1.468402
2298.000000	0.001400	0.001238	1.046528
2299.000000	0.001131	0.001070	1.324872
2300.000000	0.001371	0.001391	0.726898
2301.000000	0.001279	0.001371	1.271135
2302.000000	0.001356	0.001278	0.551588
2303.000000	0.001274	0.001486	0.690095
2304.000000	0.001258	0.001385	0.841303
2305.000000	0.001319	0.001313	1.594483
2306.000000	0.001262	0.001334	1.338442
2307.000000	0.001339	0.001343	1.178988
2308.000000	0.001395	0.001358	1.601438
2309.000000	0.001276	0.001303	0.716570
2310.000000	0.001312	0.001203	0.661049
2311.000000	0.001395	0.001394	1.516976
2312.000000	0.001316	0.001211	1.279400
2313.000000	0.001372	0.001474	0.717402
2314.000000	0.001347	0.001349	1.569688
2315.000000	0.001296	0.001496	1.165131
2316.000000	0.001356	0.001329	0.774410
2317.000000	0.001416	0.001239	1.734605
2318.000000	0.001231	0.001220	1.240103
2319.000000	0.001327	0.001294	0.842071
2320.000000	0.001248	0.001235	1.367038
2321.000000	0.001360	0.001360	1.873671
2322.000000	0.001208	0.001212	1.722986
2323.000000	0.001620	0.001727	1.249013
2324.000000	0.001204	0.001245	0.811922
2325.000000	0.001360	0.001301	1.640033
2326.000000	0.001480	0.001450	1.204860
2327.000000	0.001259	0.001235	0.816553
2328.000000	0.001314	0.001380	1.672435
2329.000000	0.001213	0.001176	1.337808
2330.000000	0.001348	0.001273	1.601738
2331.000000	0.001249	0.001208	1.159509
2332.000000	0.001335	0.001265	0.728270
2333.000000	0.001234	0.001180	0.809545
2334.000000	0.001272	0.001285	1.220104
2335.000000	0.001344	0.001280	1.609870
2336.000000	0.001374	0.001344	0.727499
2337.000000	0.001355	0.001433	1.167542
2338.000000	0.001485	0.001410	1.465492
2339.000000	0.001336	0.001378	0.658808
2340.000000	0.001222	0.001205	0.784079
2341.000000	0.001182	0.001208	1.007062
2342.000000	0.001337	0.001249	1.628263
2343.000000	0.001422	0.001761	1.401498
2344.000000	0.001240	0.001127	1.184611
2345.000000	0.001250	0.001253	1.516929
2346.000000	0.001192	0.001300	1.416418
2347.000000	0.001252	0.001154	1.098728
2348.000000	0.001298	0.001417	1.434532
2349.000000	0.001399	0.001450	1.482915
2350.000000	0.001401	0.001502	1.550987
2351.000000	0.001153	0.001179	0.969154
2352.000000	0.001177	0.001111	0.554095
2353.000000	0.001232	0.001286	1.424214
2354.000000	0.001430	0.001253	0.905153
2355.000000	0.001229	0.001283	1.441672
2356.000000	0.001270	0.001260	0.636603
2357.000000	0.001332	0.001366	1.047107
2358.000000	0.001256	0.001414	0.714001
2359.000000	0.001200	0.001431	1.400576
2360.000000	0.001374	0.001388	0.723540
2361.000000	0.001395	0.001556	1.508344
2362.000000	0.001464	0.001456	1.245526
2363.000000	0.001268	0.001239	0.775952
2364.000000	0.001327	0.001284	0.593791
2365.000000	0.001375	0.001250	0.933877
2366.000000	0.001455	0.001422	1.317614
2367.000000	0.001260	0.001245	1.497763
2368.000000	0.001314	0.001522	1.257354
2369.000000	0.001253	0.001171	0.870547
2370.000000	0.001257	0.001139	1.515563
2371.000000	0.001336	0.001225	1.158147
2372.000000	0.001350	0.001437	1.556690
2373.000000	0.001293	0.001223	0.774451
2374.000000	0.001199	0.001225	1.105727
2375.000000	0.001475	0.001445	1.586525
2376.000000	0.001370	0.001204	1.570440
2377.000000	0.001394	0.001560	1.041184
2378.000000	0.001344	0.001383	1.494316
2379.000000	0.001464	0.001544	0.578266
2380.000000	0.001461	0.001451	1.486245
2381.000000	0.001256	0.001220	1.287578
2382.000000	0.001413	0.001518	0.637989
2383.000000	0.001299	0.001287	1.624264
2384.000000	0.001262	0.001275	1.220435
2385.000000	0.001439	0.001373	0.709898
2386.000000	0.001298	0.001310	1.579406
2387.000000	0.001315	0.001400	1.296894
2388.000000	0.001356	0.001359	0.744546
2389.000000	0.001108	0.001161	1.703004
2390.000000	0.001247	0.001128	0.892456
2391.000000	0.001150	0.001158	1.150067
2392.000000	0.001407	0.001615	0.751383
2393.000000	0.001298	0.001249	1.701495


# after crash
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
2394.000000	0.001315	0.001367	1.920860
2395.000000	0.001369	0.001613	1.697513
2396.000000	0.001194	0.001186	1.284984
2397.000000	0.001313	0.001453	1.866958
2398.000000	0.001105	0.001036	0.978995
2399.000000	0.001294	0.001125	1.502351
2400.000000	0.001411	0.001416	0.957870
2401.000000	0.001104	0.001240	0.960595
2402.000000	0.001302	0.001287	1.556059
2403.000000	0.001291	0.001164	1.892494
2404.000000	0.001364	0.001106	1.006367
2405.000000	0.001255	0.001204	1.654180
2406.000000	0.001376	0.001371	2.078268
2407.000000	0.001391	0.001462	0.959872
2408.000000	0.001381	0.001292	1.401684
2409.000000	0.001487	0.001308	1.117364
2410.000000	0.001337	0.001419	2.068465
2411.000000	0.001340	0.001335	2.048539
2412.000000	0.001361	0.001310	1.466323
2413.000000	0.001219	0.001144	1.011509
2414.000000	0.001377	0.001392	1.928415
2415.000000	0.001337	0.001350	1.417260
2416.000000	0.001188	0.001438	2.205852
2417.000000	0.001124	0.001003	2.187049
2418.000000	0.001339	0.001271	1.486502
2419.000000	0.001374	0.001330	2.133306
2420.000000	0.001371	0.001362	1.204118
2421.000000	0.001320	0.001187	1.704775
2422.000000	0.001383	0.001391	1.137576
2423.000000	0.001234	0.001237	2.186105
2424.000000	0.001239	0.001282	1.593288
2425.000000	0.001320	0.001341	1.272696
2426.000000	0.001303	0.001299	2.228095
2427.000000	0.001347	0.001400	1.879062
2428.000000	0.001283	0.001303	2.293545
2429.000000	0.001182	0.001184	2.511892
2430.000000	0.001419	0.001521	1.550760
2431.000000	0.001194	0.001210	2.161352
2432.000000	0.001334	0.001178	1.149449
2433.000000	0.001242	0.001278	1.922582
2434.000000	0.001153	0.001104	1.407549
2435.000000	0.001407	0.001521	1.171883
2436.000000	0.001405	0.001384	1.505169
2437.000000	0.001269	0.001186	1.609995
2438.000000	0.001260	0.001356	1.107755
2439.000000	0.001196	0.001255	2.059388
2440.000000	0.001393	0.001357	1.611269
2441.000000	0.001296	0.001376	2.240789
2442.000000	0.001293	0.001314	1.273694
2443.000000	0.001299	0.001279	1.795611
2444.000000	0.001366	0.001411	2.179641
2445.000000	0.001408	0.001363	1.051945
2446.000000	0.001287	0.001396	1.941699
2447.000000	0.001199	0.001269	2.320500
2448.000000	0.001241	0.001218	2.222906
2449.000000	0.001470	0.001508	1.308698
2450.000000	0.001366	0.001454	1.679067
2451.000000	0.001416	0.001333	1.158274
2452.000000	0.001181	0.001163	2.267571
2453.000000	0.001381	0.001516	1.483946
2454.000000	0.001341	0.001290	1.116210
2455.000000	0.001365	0.001352	2.279610
2456.000000	0.001354	0.001248	1.316001
2457.000000	0.001152	0.001101	1.909580
2458.000000	0.001268	0.001229	2.274830
2459.000000	0.001302	0.001201	1.321362
2460.000000	0.001125	0.001040	1.912258
2461.000000	0.001464	0.001632	1.338218
2462.000000	0.001345	0.001383	2.314970
2463.000000	0.001246	0.001212	1.360078
2464.000000	0.001344	0.001371	1.341680
2465.000000	0.001206	0.001137	2.361643
2466.000000	0.001379	0.001299	2.087499
2467.000000	0.001243	0.001233	1.501942
2468.000000	0.001408	0.001582	1.082557
2469.000000	0.001375	0.001395	1.232613
2470.000000	0.001371	0.001425	1.776935
2471.000000	0.001416	0.001691	2.287735
2472.000000	0.001393	0.001253	2.335727
2473.000000	0.001183	0.001159	1.769175
2474.000000	0.001382	0.001363	1.261587
2475.000000	0.001212	0.001218	1.227433
2476.000000	0.001412	0.001258	1.917715
2477.000000	0.001428	0.001338	1.355509
2478.000000	0.001281	0.001220	2.554188
2479.000000	0.001433	0.001455	2.174084
2480.000000	0.001485	0.001380	1.236505
2481.000000	0.001378	0.001517	1.899618
2482.000000	0.001232	0.001195	2.328403
2483.000000	0.001274	0.001239	2.477493
2484.000000	0.001521	0.001511	2.110592
2485.000000	0.001239	0.001290	2.170771
2486.000000	0.001426	0.001371	1.162094
2487.000000	0.001309	0.001197	1.536236
2488.000000	0.001230	0.001125	2.275312
2489.000000	0.001358	0.001526	2.559611
2490.000000	0.001179	0.001230	1.485088
2491.000000	0.001367	0.001320	1.312261
2492.000000	0.001459	0.001273	1.998734
2493.000000	0.001407	0.001319	2.533947
2494.000000	0.001200	0.001174	1.436917
2495.000000	0.001266	0.001228	1.695018
2496.000000	0.001298	0.001184	2.418685
2497.000000	0.001322	0.001332	1.248383
2498.000000	0.001358	0.001409	2.378064
2499.000000	0.001444	0.001419	1.726816
2500.000000	0.001272	0.001236	2.655705
2501.000000	0.001208	0.000980	1.638844
2502.000000	0.001340	0.001351	1.650970
2503.000000	0.001392	0.001508	2.673881
2504.000000	0.001344	0.001525	1.860611
2505.000000	0.001424	0.001468	2.431475
2506.000000	0.001495	0.001402	1.257398
2507.000000	0.001255	0.001289	1.817485
2508.000000	0.001308	0.001343	2.639392
2509.000000	0.001350	0.001389	1.426012
2510.000000	0.001351	0.001256	2.052963
2511.000000	0.001297	0.001211	1.646951
2512.000000	0.001459	0.001471	2.748466
2513.000000	0.001239	0.001409	2.343649
2514.000000	0.001319	0.001255	2.674822
2515.000000	0.001168	0.001158	1.507507
2516.000000	0.001329	0.001241	2.399750
2517.000000	0.001311	0.001317	1.733730
2518.000000	0.001170	0.001119	2.978287
2519.000000	0.001366	0.001318	2.338861
2520.000000	0.001317	0.001349	2.836083
2521.000000	0.001289	0.001234	2.851377
2522.000000	0.001309	0.001339	2.528594
2523.000000	0.001329	0.001372	1.598942
2524.000000	0.001276	0.001376	1.905160
2525.000000	0.001533	0.001420	2.681670
2526.000000	0.001194	0.001284	3.086682
2527.000000	0.001425	0.001294	2.008058
2528.000000	0.001293	0.001271	2.229195
2529.000000	0.001235	0.001110	3.374348
2530.000000	0.001281	0.001253	2.121375
2531.000000	0.001542	0.001635	2.231511
2532.000000	0.001432	0.001584	3.363559
2533.000000	0.001306	0.001310	2.858193
2534.000000	0.001507	0.001933	2.804792
2535.000000	0.001422	0.001386	3.389222
2536.000000	0.001336	0.001191	2.011090
2537.000000	0.001252	0.001260	2.478050
2538.000000	0.001390	0.001259	3.279899
2539.000000	0.001322	0.001292	2.105053
2540.000000	0.001355	0.001364	2.491987
2541.000000	0.001267	0.001207	2.155804
2542.000000	0.001433	0.001456	3.289428
2543.000000	0.001363	0.001486	2.677870
2544.000000	0.001318	0.001307	2.059892
2545.000000	0.001406	0.001536	2.130829
2546.000000	0.001344	0.001280	2.925099
2547.000000	0.001386	0.001333	2.195620
2548.000000	0.001458	0.001455	3.539692
2549.000000	0.001394	0.001362	2.978660
2550.000000	0.001367	0.001358	1.968266
2551.000000	0.001326	0.001250	1.989648
2552.000000	0.001259	0.001203	2.772587
2553.000000	0.001228	0.001198	2.159490
2554.000000	0.001320	0.001122	1.937136
2555.000000	0.001343	0.001409	2.621367
2556.000000	0.001383	0.001404	2.028925
2557.000000	0.001189	0.001225	1.830108
2558.000000	0.001301	0.001393	2.378598
2559.000000	0.001401	0.001381	2.974709
2560.000000	0.001220	0.001326	1.852352
2561.000000	0.001238	0.001367	2.943560
2562.000000	0.001258	0.001475	2.933661
2563.000000	0.001335	0.001227	1.792890
2564.000000	0.001213	0.001137	2.877447
2565.000000	0.001367	0.001427	2.821918
2566.000000	0.001300	0.001344	3.216919
2567.000000	0.001364	0.001284	2.933177
2568.000000	0.001239	0.001317	2.799767
2569.000000	0.001294	0.001221	1.802373
2570.000000	0.001345	0.001258	2.968306
2571.000000	0.001184	0.001279	2.865706
2572.000000	0.001271	0.001399	1.778482
2573.000000	0.001246	0.001187	1.988770
2574.000000	0.001313	0.001195	2.691507
2575.000000	0.001368	0.001349	2.956053
2576.000000	0.001278	0.001231	2.927805
2577.000000	0.001357	0.001408	2.348504
2578.000000	0.001354	0.001457	3.237568
2579.000000	0.001456	0.001612	3.141624
2580.000000	0.001239	0.001251	2.725066
2581.000000	0.001144	0.001139	3.211322
2582.000000	0.001237	0.001231	2.915859
2583.000000	0.001237	0.001201	2.808258
2584.000000	0.001475	0.001578	3.319576
2585.000000	0.001217	0.001154	2.097446
2586.000000	0.001374	0.001599	2.545531
2587.000000	0.001225	0.001280	3.301539
2588.000000	0.001388	0.001395	3.184762
2589.000000	0.001261	0.001212	2.726481
2590.000000	0.001282	0.001379	1.988466
2591.000000	0.001380	0.001396	3.190683
2592.000000	0.001308	0.001354	2.525880
2593.000000	0.001170	0.001307	1.974833
2594.000000	0.001362	0.001379	2.172212
2595.000000	0.001443	0.001432	2.946345
2596.000000	0.001555	0.001495	3.423531
2597.000000	0.001281	0.001229	2.286549
2598.000000	0.001394	0.001427	3.005047
2599.000000	0.001339	0.001360	3.686488
2600.000000	0.001467	0.001715	3.495233
2601.000000	0.001239	0.001330	2.654701
2602.000000	0.001406	0.001464	2.209263
2603.000000	0.001320	0.001858	2.511487
2604.000000	0.001346	0.001337	3.533317
2605.000000	0.001215	0.001289	4.062217
2606.000000	0.001332	0.001569	3.504712
2607.000000	0.001377	0.001287	2.508433
2608.000000	0.001189	0.001131	2.319404
2609.000000	0.001195	0.001188	3.619713
2610.000000	0.001457	0.001479	3.745552
2611.000000	0.001395	0.001260	3.916060
2612.000000	0.001182	0.001100	3.253580
2613.000000	0.001344	0.001700	2.520325
2614.000000	0.001333	0.001354	2.497114
2615.000000	0.001233	0.001228	3.279659
2616.000000	0.001244	0.001254	3.912956
2617.000000	0.001220	0.001146	2.537252
2618.000000	0.001330	0.001178	3.239872
2619.000000	0.001280	0.001303	2.652826
2620.000000	0.001333	0.001397	4.011109
2621.000000	0.001288	0.001342	3.514416
2622.000000	0.001444	0.001331	4.065386
2623.000000	0.001422	0.001515	2.746358
2624.000000	0.001367	0.001390	3.316145
2625.000000	0.001330	0.001398	2.505012
2626.000000	0.001448	0.001466	3.987400
2627.000000	0.001260	0.001239	3.295355
2628.000000	0.001359	0.001350	3.944395
2629.000000	0.001415	0.001435	2.537340
2630.000000	0.001409	0.001462	3.315834
2631.000000	0.001429	0.001498	2.730942
2632.000000	0.001381	0.001460	4.120501
2633.000000	0.001336	0.001350	3.379365
2634.000000	0.001365	0.001427	4.097760
2635.000000	0.001228	0.001265	4.287313
2636.000000	0.001333	0.001306	3.390929
2637.000000	0.001273	0.001160	2.864377
2638.000000	0.001484	0.001668	4.232582
2639.000000	0.001274	0.001438	2.829751
2640.000000	0.001343	0.001296	2.940419
2641.000000	0.001385	0.001661	4.364723
2642.000000	0.001256	0.001165	3.715100
2643.000000	0.001094	0.001127	3.701945
2644.000000	0.001479	0.001426	4.502948
2645.000000	0.001377	0.001306	4.204715
2646.000000	0.001417	0.001397	3.721667
2647.000000	0.001232	0.001286	4.429765
2648.000000	0.001069	0.001244	2.701802
2649.000000	0.001323	0.001171	3.641772
2650.000000	0.001383	0.001357	2.881189
2651.000000	0.001300	0.001280	4.482029
2652.000000	0.001263	0.001200	3.619561
2653.000000	0.001264	0.001427	4.558059
2654.000000	0.001309	0.001318	4.595769
2655.000000	0.001346	0.001361	3.414679
2656.000000	0.001335	0.001298	3.347867
2657.000000	0.001333	0.001233	4.849215
2658.000000	0.001292	0.001168	3.155037
2659.000000	0.001321	0.001532	3.354352
