

# Beam on ground plane, pol full open
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	12.255251	8.608952	1822.860481
3851.000000	4.086709	3.841332	1985.861866
3852.000000	4.020949	3.854812	1104.636769
3853.000000	3.574104	3.489042	2096.732178
3854.000000	3.719530	3.774180	1814.463698
3855.000000	4.987340	5.147311	1452.385629
3856.000000	4.542195	4.081836	2327.796197
3857.000000	3.830701	4.247478	1694.198460
3858.000000	3.872786	3.841448	1992.778131
3859.000000	3.448816	3.341487	2670.274445
3860.000000	3.921436	3.490713	1425.675613
3861.000000	4.941498	4.647789	2570.855183
3862.000000	5.285661	6.070598	2856.444004
3863.000000	5.496444	5.599549	1511.918935
3864.000000	4.175266	4.040202	3479.771333
3865.000000	3.805773	3.381968	2751.212281
3866.000000	3.131217	3.143198	1749.690397
3867.000000	3.365464	3.220064	3556.057496
3868.000000	3.467740	3.153243	2511.923360
3869.000000	3.652013	3.500336	2417.807398
3870.000000	3.301003	3.039847	3531.456073
3871.000000	3.342853	3.043375	1667.454982
3872.000000	3.676786	3.574043	2391.583268
3873.000000	3.372442	3.222392	2685.272120
3874.000000	3.350239	3.405417	1009.386321
3875.000000	3.083218	3.120624	2504.511501
3876.000000	2.872328	2.706010	2077.247916
3877.000000	3.217867	2.856804	1225.543592
3878.000000	2.855570	2.850622	2199.125612
3879.000000	3.401991	2.846958	1631.397016
3880.000000	3.682974	3.805525	1319.712963
3881.000000	3.391794	3.276809	2003.944051
3882.000000	3.193978	3.304547	1278.144045
3883.000000	4.280558	4.507070	1412.570998
3884.000000	4.017813	4.070516	1593.835817
3885.000000	4.507834	4.402758	740.684651
3886.000000	4.531172	4.333886	964.141427
3887.000000	4.906359	4.758576	1320.285125
3888.000000	3.838554	3.580373	539.454614
3889.000000	4.714788	4.705135	1067.038790
3890.000000	4.110492	4.185695	824.373833
3891.000000	3.634230	3.392702	483.079404
3892.000000	3.747326	3.962872	810.562458
3893.000000	3.708967	3.409258	512.042666
3894.000000	4.281741	4.740062	410.024236
3895.000000	4.430539	4.383631	491.161301
3896.000000	4.248271	4.363429	243.179148
3897.000000	5.281743	5.407479	319.356769
3898.000000	5.369335	4.574172	525.054398
3899.000000	5.529780	5.751630	287.900007
3900.000000	5.215136	5.130360	763.108433
3901.000000	5.639554	6.268764	684.783415
3902.000000	5.610155	5.475522	491.481873
3903.000000	6.261033	6.104119	855.421955
3904.000000	7.352957	8.282603	622.193706
3905.000000	7.287079	7.509475	749.248793
3906.000000	7.480343	7.838520	1082.863593
3907.000000	8.575513	8.518860	735.879781
3908.000000	7.642269	7.502412	772.215637
3909.000000	8.658390	9.415457	1201.030159
3910.000000	9.465001	10.079401	381.283987
3911.000000	10.876470	11.104466	917.666132
3912.000000	9.252304	9.557487	1034.287540
3913.000000	10.069453	9.666656	514.920781
3914.000000	7.944386	7.769618	861.925828
3915.000000	8.267528	7.506603	763.667866
3916.000000	7.390300	6.997186	648.039921
3917.000000	7.028634	6.079205	1047.315728
3918.000000	6.342370	5.223205	611.100742
3919.000000	7.487222	7.810634	592.944028
3920.000000	8.072763	8.121192	881.864228
3921.000000	8.133983	7.785912	599.266520
3922.000000	7.491549	7.662681	674.992946
3923.000000	8.004598	8.138146	874.108301
3924.000000	9.221639	8.576765	604.057410
3925.000000	10.925773	10.552506	1203.253893
3926.000000	12.562999	14.371848	967.478269
3927.000000	9.780830	9.476688	432.583044
3928.000000	10.782922	10.527576	1103.321838
3929.000000	11.035011	11.415736	940.327885
3930.000000	11.764375	11.727782	866.346230
3931.000000	14.527409	13.596350	1514.920010
3932.000000	13.221294	14.653247	899.730588
3933.000000	9.140583	9.142645	1463.477984
3934.000000	12.558809	11.327958	2027.097767
3935.000000	15.342080	13.813379	1378.394498
3936.000000	13.462633	13.486586	2111.613022
3937.000000	8.270814	8.298057	1884.089434
3938.000000	7.641131	6.880185	972.612023
3939.000000	7.656456	8.001247	2297.632147
3940.000000	7.694403	7.461111	1944.111556
3941.000000	6.841882	6.037252	1321.265800
3942.000000	6.505394	6.080083	2610.768467
3943.000000	6.382390	6.728897	1685.578966
3944.000000	6.496355	5.748364	1419.324802
3945.000000	6.004315	5.399714	2102.588407
3946.000000	7.084635	7.445123	967.912615
3947.000000	7.153231	7.412350	1616.612418
3948.000000	6.955722	6.468754	1602.052033
3949.000000	5.957852	6.038265	705.010842
3950.000000	6.451127	6.347113	1326.889525
3951.000000	5.550335	6.014464	1192.045545
3952.000000	5.919547	5.944042	545.090176
3953.000000	5.571006	5.331756	1315.899307
3954.000000	6.135367	6.454683	905.440213
3955.000000	5.936515	6.090992	799.463618
3956.000000	5.664444	5.253800	1154.980892
3957.000000	5.311091	5.803613	656.324116
3958.000000	5.322764	5.269333	804.905019
3959.000000	4.635080	4.548396	1071.518980
3960.000000	4.978281	5.095676	461.214901
3961.000000	5.496377	5.563688	603.162211
3962.000000	5.063162	4.885927	935.663902
3963.000000	4.804056	4.872703	420.120204
3964.000000	5.561284	5.585185	1125.149625
3965.000000	4.927608	4.863980	1046.866315
3966.000000	5.729772	5.429844	918.091823
3967.000000	5.220129	4.976573	1567.564267
3968.000000	4.826707	5.054453	1145.508245
3969.000000	5.283848	5.256669	1282.262091
3970.000000	4.770233	4.917731	1635.461377
3971.000000	5.004862	4.825966	1040.822461
3972.000000	5.387645	5.831703	1215.952541
3973.000000	4.461472	4.025809	1605.706460
3974.000000	4.868922	5.114566	585.185140
3975.000000	4.774708	4.641279	1500.134211
3976.000000	5.068908	5.071207	1326.003605
3977.000000	4.780078	5.022511	643.399110
3978.000000	4.874647	4.996843	1524.235728
